featurecla,scalerank,min_zoom,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle,long,lat
Land,"0",0.0,"86","0","0","86",99.99618293939962,243.27612684841640,-56.409,51.771
Land,"0",0.0,"87","0","0","87",100.79513309274748,250.88360319760685,-57.127,51.420
Land,"0",0.0,"88","0","0","88",102.48091187698890,247.34743381239460,-58.775,51.064
Land,"0",0.0,"89","0","0","89",103.98355516101022,250.68890965821697,-60.033,50.243
Land,"0",0.0,"90","0","0","90",105.68182998261371,270.06732387374223,-61.724,50.081
Land,"0",0.0,"91","0","0","91",107.83108613060412,272.94873616927822,-63.862,50.291
Land,"0",0.0,"92","0","0","92",109.33189686870865,268.22080346192581,-65.363,50.298
Land,"0",0.0,"93","0","0","93",110.36992478745586,247.78887103224832,-66.399,50.229
Land,"0",0.0,"94","0","0","94",111.47256416449700,240.12423427658953,-67.236,49.511
Land,"0",0.0,"95","0","0","95",112.82212249556366,239.14931091700475,-68.511,49.068
Land,"0",0.0,"96","0","0","96",114.77986597450889,229.36351458232431,-69.954,47.745
Land,"0",0.0,"97","0","0","97",116.25524410240874,155.15631002466063,-71.104,46.822
Land,"0",0.0,"98","0","0","98",117.12030731145904,64.87112214610492,-70.255,46.986
Land,"0",0.0,"99","0","0","99",119.19472629286902,59.51806956131244,-68.650,48.300
Land,"0",0.0,"100","0","0","100",121.45167283654732,77.26247357232678,-66.552,49.133
Land,"0",0.0,"101","0","0","101",122.95121287272900,102.58584664648365,-65.056,49.233
Land,"0",0.0,"102","0","0","102",123.96317913905638,176.78611134378158,-64.171,48.742
Land,"0",0.0,"103","0","0","103",125.12206090926529,199.09883355250307,-65.115,48.071
Land,"0",0.0,"104","0","0","104",126.24551825360680,160.11026136053903,-64.799,46.993
Land,"0",0.0,"105","0","0","105",127.06767080945799,133.82066290360623,-64.472,46.239
Land,"0",0.0,"106","0","0","106",128.45921868273916,98.01249621115547,-63.173,45.739
Land,"0",0.0,"107","0","0","107",130.11814132303118,63.36196012641776,-61.521,45.884
Land,"0",0.0,"108","0","0","108",131.62427046969137,108.12829516563787,-60.518,47.008
Land,"0",0.0,"109","0","0","109",132.35275384291091,146.90624485566599,-60.449,46.283
Land,"0",0.0,"110","0","0","110",133.09322320723069,180.69076862101772,-59.803,45.920
Land,"0",0.0,"111","0","0","111",134.49300572816745,248.52779484435317,-61.040,45.265
Land,"0",0.0,"112","0","0","112",136.78644549778645,251.38116522946319,-63.255,44.670
Land,"0",0.0,"113","0","0","113",137.85774450731549,242.49914062539227,-64.247,44.266
Land,"0",0.0,"114","0","0","114",139.18721782467935,256.36083856053631,-65.364,43.545
Land,"0",0.0,"115","0","0","115",139.95009792490976,316.46712219974944,-66.123,43.619
Land,"0",0.0,"116","0","0","116",140.79733716723570,30.97036923331009,-66.162,44.465
Land,"0",0.0,"117","0","0","117",142.72045548818141,346.67714192994640,-64.425,45.292
Land,"0",0.0,"118","0","0","118",144.32131720174317,266.28610416436931,-66.026,45.259
Land,"0",0.0,"119","0","0","119",145.43935683155641,207.97714012698859,-67.137,45.138
Land,"0",0.0,"120","0","0","120",145.80992720745078,198.90409857680237,-66.965,44.810
Land,"0",0.0,"121","0","0","121",146.98251742295307,248.51541206173260,-68.032,44.325
Land,"0",0.0,"122","0","0","122",148.06648454747992,252.88563729941117,-69.060,43.980
Land,"0",0.0,"123","0","0","123",149.16327850859241,237.80531842256300,-70.116,43.684
Land,"0",0.0,"124","0","0","124",150.03338306168902,219.21138323444816,-70.690,43.030
Land,"0",0.0,"125","0","0","125",150.24014829957687,199.12438637678443,-70.815,42.865
Land,"0",0.0,"126","0","0","126",150.77045749777974,164.59187735817309,-70.825,42.335
Land,"0",0.0,"127","0","0","127",151.39477924016745,120.76997485551814,-70.495,41.805
Land,"0",0.0,"128","0","0","128",151.81051110625100,38.70217359297149,-70.080,41.780
Land,"0",0.0,"129","0","0","129",152.19029890227404,55.23277553945280,-70.185,42.145
Land,"0",0.0,"130","0","0","130",152.56369485348020,161.08717191519207,-69.885,41.923
Land,"0",0.0,"131","0","0","131",152.86054451728788,226.08363143901957,-69.965,41.637
Land,"0",0.0,"132","0","0","132",153.55469753178593,264.40960679265652,-70.640,41.475
Land,"0",0.0,"133","0","0","133",154.03537519571358,264.52456937208973,-71.120,41.495
Land,"0",0.0,"134","0","0","134",154.79533669340822,260.08582262079489,-71.860,41.320
Land,"0",0.0,"135","0","0","135",155.23320398058453,264.29122322709571,-72.295,41.270
Land,"0",0.0,"136","0","0","136",155.81671781320529,257.99388043089266,-72.876,41.221
Land,"0",0.0,"137","0","0","137",156.69921101298482,166.76607016540632,-73.710,40.931
Land,"0",0.0,"138","0","0","138",158.18005748306237,102.64246798530750,-72.241,41.120
Land,"0",0.0,"139","0","0","139",158.53163385345186,190.24984066579617,-71.945,40.930
Land,"0",0.0,"140","0","0","140",159.96331791355973,263.86188013814564,-73.345,40.630
Land,"0",0.0,"141","0","0","141",160.60040605839833,321.72578496222690,-73.982,40.628
Land,"0",0.0,"142","0","0","142",160.72651764500620,300.65922757281180,-73.952,40.751
Land,"0",0.0,"143","0","0","143",161.13822601502613,163.26906411348753,-74.257,40.474
Land,"0",0.0,"144","0","0","144",161.43608561329640,147.79367503907653,-73.962,40.428
