featurecla,scalerank,min_zoom,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle,long,lat
Land,"0",0.0,"129","0","0","129",95.28093561332348,102.10004634642310,114.150,-21.756
Land,"0",0.0,"130","0","0","130",96.04628100089806,102.94365587752934,114.225,-22.517
Land,"0",0.0,"131","0","0","131",96.85360282512207,49.59139784024412,114.648,-21.830
Land,"0",0.0,"132","0","0","132",97.73211849912514,58.21617217551488,115.460,-21.495
Land,"0",0.0,"133","0","0","133",98.37962067571394,56.57534870498322,115.947,-21.069
Land,"0",0.0,"134","0","0","134",99.22741806434119,72.30232127924354,116.712,-20.702
Land,"0",0.0,"135","0","0","135",99.68877465365368,97.19396245420533,117.166,-20.624
Land,"0",0.0,"136","0","0","136",99.99035997720114,89.41009302555420,117.442,-20.747
Land,"0",0.0,"137","0","0","137",100.86206181167256,72.16334758297756,118.230,-20.374
Land,"0",0.0,"138","0","0","138",101.47864304583408,57.16961663619312,118.836,-20.263
Land,"0",0.0,"139","0","0","139",101.74515367316867,52.83861852456878,118.988,-20.044
Land,"0",0.0,"140","0","0","140",102.02513141372749,81.70883067642630,119.252,-19.953
Land,"0",0.0,"141","0","0","141",102.57836461432166,83.43689901907376,119.805,-19.977
Land,"0",0.0,"142","0","0","142",103.66938346701012,62.59816055383408,120.856,-19.684
Land,"0",0.0,"143","0","0","143",104.37126220046584,38.14792189812119,121.400,-19.240
Land,"0",0.0,"144","0","0","144",104.96353941442911,37.32713705046451,121.655,-18.705
Land,"0",0.0,"145","0","0","145",105.73926011445360,27.77514044135604,122.242,-18.198
Land,"0",0.0,"146","0","0","146",106.14083016530284,4.59093396856034,122.287,-17.799
Land,"0",0.0,"147","0","0","147",106.68509472081574,21.11297747097543,122.313,-17.255
Land,"0",0.0,"148","0","0","148",107.78592511976279,96.73271195837847,123.013,-16.405
Land,"0",0.0,"149","0","0","149",108.74655462249657,109.43678034695266,123.434,-17.269
Land,"0",0.0,"150","0","0","150",109.21656177698291,13.93917354628245,123.859,-17.069
Land,"0",0.0,"151","0","0","151",109.80824816423259,357.94681077390408,123.503,-16.597
Land,"0",0.0,"152","0","0","152",110.38608831342727,74.52290539304921,123.817,-16.111
Land,"0",0.0,"153","0","0","153",110.87761325136510,62.60915073041940,124.258,-16.328
Land,"0",0.0,"154","0","0","154",111.64812718424974,28.53536406433323,124.380,-15.567
Land,"0",0.0,"155","0","0","155",112.38338653078250,39.71153626444576,124.926,-15.075
